,cityid,title,address,mobile,longitude,latitude
0,110100,绿源电动车(北七家镇店),北京市昌平区北七家镇东沙王府市场内,18701578809,116.41514274521,40.134421640582
1,110100,绿源电动车(商业街店),北京市昌平区商业街59号,13439250756,116.23728244211,40.221786750902
2,110100,绿源电动车(龙禧二街店),北京市昌平区回龙观龙禧二街184-8,13811566285,116.32211819886,40.086594342043
3,110100,绿源电动车(大黄庄店),北京市朝阳区高碑店定福庄大黄庄桥东10米路南,18610008210,116.55035845872,39.922838792373
4,110100,绿源电动车(双桥路店),北京市朝阳区双桥路3号双桥路,01087967487,116.58356498624,39.910678490648
5,110100,绿源电动车(南陈路店),北京市顺义区南陈路,13520470943,116.62341254349,40.148440621074
6,110100,绿源电动车(林校北路店),北京市大兴区林校北路10号林校北路,01069255137,116.34492540953,39.728554139255
7,110100,绿源电动车(安定门内大街店),北京市东城区安定门内大街39号（交道口）,01059564510,116.41440380114,39.953923463335
8,110100,绿源电动车(东四北大街店),北京市东城区东四北大街265号东四北大街,01064024486,116.42323285478,39.937761697889
9,110100,绿源电动车(成寿寺中路店),北京市丰台区成寿寺中路四方景园四区三号楼底商,13641234506,116.44590846742,39.860454582993
10,110100,绿源电动车(南顶路店),北京市丰台区南顶路281号,17733743855,116.41542737174,39.848640752029
11,110100,绿源电动车(新平东路店),北京市平谷区新平东路62号新平东路,15901201350,117.12976953806,40.145955294223
12,110100,打铁庄公交站销售门店,北京市平谷区密三路,01089960166,117.01529418758,40.074816628143
13,110100,绿源电动车(新华南路店),北京市通州区新华南路,,116.66396445804,39.911002970423
14,110100,绿源电动车(漷马路专卖店),北京市通州区漷马路旧线,18910268235,116.55342239894,39.769998230111
15,110100,绿源电动车(云景东路店),北京市通州区云景东路256号,01060543175,116.66824752971,39.884863840391
16,110100,绿源电动车(汉王路专卖店),北京市通州区宋庄镇（靠近三河市汉王路）,18810023389,116.83104674454,39.973327177619
17,110100,绿源电动车(西门外大街店),北京市密云区西门外大街,13501021014,116.83814316241,40.384900766788
18,120100,绿源电动车(咸阳路店),天津市红桥区咸阳路10号咸阳路,18722599117,117.14452515374,39.154926735696
19,120100,绿源电动车(杨王路店),天津市武清区黄花店镇杨王路,13821962688,116.91279954918,39.359482886677
20,130100,绿源电动车(文兴路店),河北省石家庄市井陉矿区矿市街道文兴路,13582175164,114.07000457121,38.067979420171
21,130100,绿源电动车(人民东路专卖店),河北省石家庄市灵寿县人民东路138号人民东路,82520178,114.39632341431,38.315753057216
22,130100,绿源电动车(石清路专卖店),河北省石家庄市鹿泉区石清路,15132171150,114.35398976742,38.204176360843
